rmct_term_id,preferred_label,alternative_labels,broader_dimension,narrower_category,n_companies,total_mentions,company_coverage_percent,final_term_status,source_types
RMCT_TERM_0009,advisory,advisory,Certification / Quality Capability,Certifications and standards,16,65,1.8,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0004,as9100,as9100,Certification / Quality Capability,Certifications and standards,18,34,2.03,core_term,literature_seed; website_validated_seed
RMCT_TERM_0002,certification,certification,Certification / Quality Capability,Certifications and standards,111,295,12.5,core_term,literature_seed; website_validated_seed
RMCT_TERM_0010,certified quality,certified quality,Certification / Quality Capability,Certifications and standards,11,16,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0005,iatf 16949,iatf 16949,Certification / Quality Capability,Certifications and standards,14,24,1.58,core_term,literature_seed; website_validated_seed
RMCT_TERM_0003,iso 14001,iso 14001; iso14001,Certification / Quality Capability,Certifications and standards,40,61,4.5,core_term,literature_seed; website_new_candidate; website_validated_seed
RMCT_TERM_0006,iso 45001,iso 45001,Certification / Quality Capability,Certifications and standards,13,18,1.46,core_term,literature_seed; website_validated_seed
RMCT_TERM_0001,iso 9001,iso 9001; iso9001,Certification / Quality Capability,Certifications and standards,169,344,19.03,core_term,literature_seed; website_new_candidate; website_validated_seed
RMCT_TERM_0008,iso certification,accredited iso; certified iso; iso accreditation; iso accredited; iso certificate; iso certification; iso certified; iso iso; iso quality; iso quality management; iso standards; management iso; quality management iso; standards iso,Certification / Quality Capability,Certifications and standards,31,49,3.49,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0007,quality standards,highest quality standards; highest standards quality; quality standard; quality standards; standard quality; standards quality,Certification / Quality Capability,Certifications and standards,59,84,6.64,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0011,supervisor,supervisor,Certification / Quality Capability,Certifications and standards,10,15,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0012,compliance,compliance,Certification / Quality Capability,Other quality capability,124,359,13.96,core_term,literature_seed; website_validated_seed
RMCT_TERM_0013,traceability,traceability,Certification / Quality Capability,Other quality capability,50,99,5.63,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0034,best quality,best quality,Certification / Quality Capability,Quality management,21,26,2.36,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0020,commitment quality,commitment quality,Certification / Quality Capability,Quality management,73,121,8.22,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0040,compromising quality,compromising quality,Certification / Quality Capability,Quality management,18,36,2.03,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0026,consistent quality,consistent quality,Certification / Quality Capability,Quality management,26,38,2.93,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0059,customers quality,customers quality,Certification / Quality Capability,Quality management,13,18,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0048,dedication quality,dedication quality,Certification / Quality Capability,Quality management,14,18,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0049,deliver high quality,deliver high quality; deliver high-quality,Certification / Quality Capability,Quality management,14,18,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0027,deliver quality,deliver quality,Certification / Quality Capability,Quality management,25,35,2.82,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0025,delivering high quality,delivering high-quality,Certification / Quality Capability,Quality management,27,38,3.04,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0050,delivering quality,delivering quality,Certification / Quality Capability,Quality management,14,21,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0032,ensure quality,ensure quality,Certification / Quality Capability,Quality management,22,25,2.48,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0051,ensuring quality,ensuring quality,Certification / Quality Capability,Quality management,14,17,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0028,exceptional quality,exceptional quality,Certification / Quality Capability,Quality management,25,37,2.82,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0035,focus quality,focus quality,Certification / Quality Capability,Quality management,21,26,2.36,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0017,high quality,high quality; high quality products; high quality service; high-quality; high-quality products; highest quality,Certification / Quality Capability,Quality management,196,377,22.07,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0037,improve quality,improve quality,Certification / Quality Capability,Quality management,19,30,2.14,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0065,level quality,level quality,Certification / Quality Capability,Quality management,12,13,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0060,manufacturing quality,manufacturing quality,Certification / Quality Capability,Quality management,13,14,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0066,offer quality,offer quality,Certification / Quality Capability,Quality management,12,23,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0077,outstanding quality,outstanding quality,Certification / Quality Capability,Quality management,10,12,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0052,precision quality,precision quality,Certification / Quality Capability,Quality management,14,16,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0067,pride quality,pride quality,Certification / Quality Capability,Quality management,12,13,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0072,produce high quality,produce high quality,Certification / Quality Capability,Quality management,11,12,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0068,producing high quality,producing high-quality,Certification / Quality Capability,Quality management,12,12,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0024,product quality,product quality,Certification / Quality Capability,Quality management,32,39,3.6,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0069,provide high quality,provide high quality; provide high-quality,Certification / Quality Capability,Quality management,12,17,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0061,provide quality,provide quality,Certification / Quality Capability,Quality management,13,16,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0053,providing high quality,providing high-quality,Certification / Quality Capability,Quality management,14,26,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0016,quality assurance,quality assurance,Certification / Quality Capability,Quality management,56,81,6.31,core_term,literature_seed; website_validated_seed
RMCT_TERM_0036,quality assured,quality assured,Certification / Quality Capability,Quality management,21,62,2.36,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0054,quality compliance,quality compliance,Certification / Quality Capability,Quality management,14,18,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0043,quality components,quality components,Certification / Quality Capability,Quality management,16,19,1.8,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0015,quality control,quality control,Certification / Quality Capability,Quality management,73,135,8.22,core_term,literature_seed; website_validated_seed
RMCT_TERM_0044,quality cost,quality cost,Certification / Quality Capability,Quality management,15,17,1.69,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0038,quality customer,quality customer,Certification / Quality Capability,Quality management,19,26,2.14,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0062,quality efficiency,quality efficiency,Certification / Quality Capability,Quality management,13,18,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0070,quality finish,quality finish,Certification / Quality Capability,Quality management,12,22,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0014,quality management,quality management,Certification / Quality Capability,Quality management,93,193,10.47,core_term,literature_seed; website_validated_seed
RMCT_TERM_0041,quality management systems,quality management systems,Certification / Quality Capability,Quality management,18,30,2.03,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0078,quality manufacturing,quality manufacturing,Certification / Quality Capability,Quality management,10,10,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0045,quality materials,quality materials,Certification / Quality Capability,Quality management,15,17,1.69,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0039,quality performance,quality performance,Certification / Quality Capability,Quality management,19,35,2.14,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0055,quality policy,quality policy,Certification / Quality Capability,Quality management,14,20,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0023,quality precision,quality precision,Certification / Quality Capability,Quality management,38,55,4.28,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0022,quality product,quality product,Certification / Quality Capability,Quality management,46,78,5.18,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0073,quality production,quality production,Certification / Quality Capability,Quality management,11,11,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0018,quality products,quality products,Certification / Quality Capability,Quality management,84,125,9.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0046,quality products services,quality products services,Certification / Quality Capability,Quality management,15,24,1.69,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0030,quality quality,quality quality,Certification / Quality Capability,Quality management,23,23,2.59,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0021,quality reliability,quality reliability,Certification / Quality Capability,Quality management,48,69,5.41,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0074,quality reliable,quality reliable,Certification / Quality Capability,Quality management,11,13,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0075,quality requirements,quality requirements,Certification / Quality Capability,Quality management,11,20,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0031,quality safety,quality safety,Certification / Quality Capability,Quality management,23,25,2.59,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0019,quality service,quality service,Certification / Quality Capability,Quality management,78,127,8.78,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0079,quality services,quality services,Certification / Quality Capability,Quality management,10,12,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0056,quality systems,quality systems,Certification / Quality Capability,Quality management,14,20,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0029,quality work,quality work,Certification / Quality Capability,Quality management,24,35,2.7,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0057,quality workmanship,quality workmanship,Certification / Quality Capability,Quality management,14,22,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0063,range high quality,range high quality; range high-quality,Certification / Quality Capability,Quality management,13,15,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0058,reputation quality,reputation quality,Certification / Quality Capability,Quality management,14,18,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0064,rigorous quality,rigorous quality,Certification / Quality Capability,Quality management,13,15,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0033,service quality,service quality,Certification / Quality Capability,Quality management,22,31,2.48,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0047,strict quality,strict quality,Certification / Quality Capability,Quality management,15,24,1.69,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0071,stringent quality,stringent quality,Certification / Quality Capability,Quality management,12,16,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0080,supply quality,supply quality,Certification / Quality Capability,Quality management,10,11,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0081,supplying high quality,supplying high quality,Certification / Quality Capability,Quality management,10,13,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0076,supplying quality,supplying quality,Certification / Quality Capability,Quality management,11,17,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0042,top quality,top-quality,Certification / Quality Capability,Quality management,17,26,1.91,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0086,final inspection,final inspection,Certification / Quality Capability,Testing and inspection,10,11,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0083,inspection,inspection,Certification / Quality Capability,Testing and inspection,110,259,12.39,core_term,literature_seed; website_validated_seed
RMCT_TERM_0084,inspections,inspections,Certification / Quality Capability,Testing and inspection,43,75,4.84,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0087,metrology,metrology,Certification / Quality Capability,Testing and inspection,12,16,1.35,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0085,rigorous testing,rigorous testing,Certification / Quality Capability,Testing and inspection,12,16,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0082,testing,testing,Certification / Quality Capability,Testing and inspection,160,469,18.02,core_term,literature_seed; website_validated_seed
RMCT_TERM_0092,batch,batch,Commercial & Supply Readiness,Capacity and production scale,72,142,8.11,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0091,batch production,batch production,Commercial & Supply Readiness,Capacity and production scale,10,16,1.13,core_term,literature_seed; website_validated_seed
RMCT_TERM_0093,batches,batches,Commercial & Supply Readiness,Capacity and production scale,22,39,2.48,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0096,capacity,capacity,Commercial & Supply Readiness,Capacity and production scale,140,352,15.77,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0088,high volume,high volume,Commercial & Supply Readiness,Capacity and production scale,38,71,4.28,core_term,literature_seed; website_validated_seed
RMCT_TERM_0089,low volume,low volume,Commercial & Supply Readiness,Capacity and production scale,25,48,2.82,core_term,literature_seed; website_validated_seed
RMCT_TERM_0090,production capacity,production capacity,Commercial & Supply Readiness,Capacity and production scale,11,19,1.24,core_term,literature_seed; website_validated_seed
RMCT_TERM_0094,small batch,small batch,Commercial & Supply Readiness,Capacity and production scale,20,33,2.25,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0095,small batches,small batches,Commercial & Supply Readiness,Capacity and production scale,10,11,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0107,bespoke,bespoke,Commercial & Supply Readiness,Custom and bespoke supply,285,794,32.09,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0104,bespoke engineering,bespoke engineering,Commercial & Supply Readiness,Custom and bespoke supply,11,12,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0098,bespoke products,bespoke products,Commercial & Supply Readiness,Custom and bespoke supply,20,35,2.25,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0105,bespoke projects,bespoke projects,Commercial & Supply Readiness,Custom and bespoke supply,10,13,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0097,bespoke solutions,bespoke solutions,Commercial & Supply Readiness,Custom and bespoke supply,29,37,3.27,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0100,create bespoke,create bespoke,Commercial & Supply Readiness,Custom and bespoke supply,15,21,1.69,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0108,custom manufacturing,custom manufacturing,Commercial & Supply Readiness,Custom and bespoke supply,6,8,0.68,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0102,manufacture bespoke,manufacture bespoke,Commercial & Supply Readiness,Custom and bespoke supply,14,24,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0099,offer bespoke,offer bespoke,Commercial & Supply Readiness,Custom and bespoke supply,17,23,1.91,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0103,provide bespoke,provide bespoke,Commercial & Supply Readiness,Custom and bespoke supply,12,13,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0101,range bespoke,range bespoke,Commercial & Supply Readiness,Custom and bespoke supply,15,23,1.69,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0106,standard bespoke,standard bespoke,Commercial & Supply Readiness,Custom and bespoke supply,10,15,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0114,collection delivery,collection delivery,Commercial & Supply Readiness,Delivery and responsiveness,12,13,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0112,day delivery,day delivery,Commercial & Supply Readiness,Delivery and responsiveness,14,24,1.58,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0111,delivery service,delivery service,Commercial & Supply Readiness,Delivery and responsiveness,16,18,1.8,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0110,delivery times,delivery times,Commercial & Supply Readiness,Delivery and responsiveness,14,27,1.58,core_term,literature_seed; website_validated_seed
RMCT_TERM_0109,lead time,lead time; short lead times,Commercial & Supply Readiness,Delivery and responsiveness,19,27,2.14,core_term,literature_seed; website_validated_seed
RMCT_TERM_0117,on-time delivery,on time delivery; on-time delivery,Commercial & Supply Readiness,Delivery and responsiveness,14,21,1.58,validated_term,literature_seed; website_new_candidate; website_validated_seed
RMCT_TERM_0113,project delivery,project delivery,Commercial & Supply Readiness,Delivery and responsiveness,13,20,1.46,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0118,rapid turnaround,rapid turnaround,Commercial & Supply Readiness,Delivery and responsiveness,7,13,0.79,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0115,service delivery,service delivery,Commercial & Supply Readiness,Delivery and responsiveness,11,16,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0116,time delivery,time delivery,Commercial & Supply Readiness,Delivery and responsiveness,10,16,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0121,contract manufacturing,contract manufacturing,Commercial & Supply Readiness,Supply and subcontract readiness,7,15,0.79,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0122,customers suppliers,customers suppliers,Commercial & Supply Readiness,Supply and subcontract readiness,7,7,0.79,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0123,subcontract machining,subcontract machining,Commercial & Supply Readiness,Supply and subcontract readiness,5,15,0.56,validated_term,literature_seed; website_validated_seed
RMCT_TERM_0120,subcontract manufacturing,subcontract,Commercial & Supply Readiness,Supply and subcontract readiness,19,61,2.14,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0119,supply chain,supply chain,Commercial & Supply Readiness,Supply and subcontract readiness,74,180,8.33,core_term,literature_seed; website_validated_seed
RMCT_TERM_0163,aided design,aided design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,12,16,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0178,bespoke design,bespoke design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,10,12,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0179,bespoke designs,bespoke designs,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,10,12,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0125,cad,cad; cad design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,106,231,11.94,core_term,literature_seed; website_new_candidate; website_validated_seed
RMCT_TERM_0126,cam,cam,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,36,59,4.05,core_term,literature_seed; website_validated_seed
RMCT_TERM_0180,complete design,complete design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,10,15,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0164,computer aided design,computer aided design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,12,16,1.35,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0144,concept design,concept design,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,20,23,2.25,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0131,design build,design build,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,40,76,4.5,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0181,design consultancy,design consultancy,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,10,16,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0182,design deliver,design deliver,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,10,10,1.13,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0171,design delivery,design delivery,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,11,13,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0172,design develop,design develop,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,11,18,1.24,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0135,design development,design development,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,34,46,3.83,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0139,design engineering,design engineering,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,28,84,3.15,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0150,design engineers,design engineers,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,16,32,1.8,regional_or_emerging_term,website_new_candidate
RMCT_TERM_0124,design for manufacture,design for manufacture; design manufacture; design manufacturing,"Design, Engineering & Product Lifecycle Support",Design and digital engineering support,143,333,16.1,core_term,literature_seed; website_new_candidate; website_validated_seed
